date,AMD,GOOG,JPM,AAPL,T,MSFT,FB,AMZN,BABA,V,BAC,WMT,PFE,BA,PG
2016-09-01,7.35,768.78,63.2615,102.5187,36.2281,54.7681,126.17,770.62,97.42,79.8864,15.3122,68.5063,31.6221,122.3843,81.4399
2016-09-02,7.51,771.46,63.5251,103.4792,36.2193,54.8442,126.51,772.44,99.25,80.5742,15.3313,68.1865,31.7041,123.5714,81.3385
2016-09-06,7.34,780.08,63.478,103.4504,36.4669,54.7871,129.73,788.87,103.78,81.095,15.1205,68.6567,31.7041,125.2956,81.7442
2016-09-07,6.84,780.35,63.2145,104.0844,36.5023,54.8347,131.05,784.48,102.32,81.7927,15.0439,67.7727,31.7679,124.9658,81.1079
2016-09-08,6.225,775.32,63.2992,101.3564,36.4316,54.616,130.27,784.06,102.57,81.5274,15.1972,67.5563,31.6585,125.2108,80.9511
2016-09-09,5.9,759.66,62.7344,99.0608,35.1225,53.4557,127.1,760.14,99.62,79.9159,15.0822,66.1174,31.0932,121.0936,79.5309
2016-09-12,5.94,769.02,63.1204,101.2796,36.007,54.2546,128.69,771.49,100.8,81.5274,15.2355,67.6598,31.5947,122.5916,81.3846
2016-09-13,5.74,759.69,62.6215,103.6906,35.3525,53.7601,127.21,761.01,100.28,80.4661,15.063,67.2084,31.0385,121.3103,80.2779
2016-09-14,6.04,762.49,62.4991,107.3598,35.2817,53.5033,127.77,761.09,102.4,80.0731,14.9768,67.2648,30.9473,120.2834,80.241
2016-09-15,6.02,771.76,62.725,111.0099,35.777,54.3877,128.35,769.69,104.45,80.584,15.0151,68.0924,31.1297,120.3776,81.2094
2016-09-16,6.05,768.88,61.9532,110.3855,35.5559,54.4448,129.07,778.52,104.64,80.643,14.8426,68.5345,30.9473,119.3695,81.2001
2016-09-19,6.16,765.7,62.3015,109.0984,35.4321,54.1405,128.65,775.1,103.03,81.0754,14.9384,67.8009,30.6829,120.1044,81.4952
2016-09-20,6.17,771.41,62.5556,109.0888,35.3436,54.0263,128.64,780.22,101.45,81.0459,14.948,67.688,30.8288,120.3964,81.6889
2016-09-21,6.29,776.22,62.9133,109.0696,35.8832,54.9298,129.94,789.74,106.0,81.773,14.9959,67.8949,31.2573,123.0062,80.9696
2016-09-22,6.37,787.21,63.431,110.0974,36.3608,54.9868,130.08,804.7,109.36,81.9106,14.948,67.9702,31.1388,124.2404,82.067
2016-09-23,6.55,786.9,63.2992,108.2627,36.5112,54.616,127.96,805.75,107.71,81.1048,14.8714,68.0454,31.2391,124.1556,80.9327
2016-09-26,6.32,774.21,61.9155,108.426,36.3873,54.1119,127.31,799.16,105.89,80.3875,14.4593,67.3588,30.6738,123.0156,81.0157
2016-09-27,6.54,783.01,62.4615,108.6278,36.6704,55.1105,128.69,816.11,108.26,80.7314,14.651,68.0266,30.847,123.7222,81.486
2016-09-28,6.59,781.56,62.7909,109.4538,36.1308,55.1866,129.23,828.72,108.75,81.5274,14.7372,67.5187,30.9929,124.5795,82.5004
2016-09-29,6.67,775.01,61.7932,107.7537,36.0247,54.5874,128.09,829.05,105.55,80.4956,14.5264,66.5218,30.382,123.449,81.3661
2016-09-30,6.91,777.29,62.678,108.5893,35.9186,54.7776,128.27,837.31,105.79,81.262,14.9959,67.8291,30.8835,124.1179,82.7679
2016-10-03,6.95,772.56,62.6027,108.0802,36.0601,54.6064,128.77,836.74,105.38,81.4193,14.9768,67.7256,30.7102,124.7209,81.7627
2016-10-04,6.97,776.43,63.1431,108.5413,35.2906,54.4353,128.19,834.03,105.45,81.2915,15.1397,67.4811,30.7467,124.5984,81.4768
2016-10-05,6.78,776.47,64.1765,108.5893,34.6361,54.8157,128.47,844.36,106.96,81.9007,15.4367,67.4059,30.9108,126.8689,81.9379
2016-10-06,6.96,776.86,64.3472,109.3962,34.5918,54.9108,128.74,841.66,107.08,81.9106,15.5421,65.2333,30.6829,126.6428,82.2791
2016-10-07,6.75,775.08,64.5747,109.5595,34.3796,54.9678,128.99,839.43,106.0,81.4389,15.4559,64.6126,30.6008,126.1058,82.9984
2016-10-10,6.84,785.94,65.0772,111.471,34.5034,55.1961,130.24,841.71,108.41,81.6747,15.6188,63.9354,30.6464,127.9807,82.1316
2016-10-11,6.5,783.07,64.7643,111.7111,34.583,54.3877,128.88,831.0,105.23,80.6135,15.4367,63.3805,30.2087,126.0022,81.652
2016-10-12,6.62,786.14,64.5937,112.7101,34.7864,54.3116,129.05,834.09,103.62,80.8199,15.3601,63.4463,30.154,125.4557,81.6797
2016-10-13,6.49,778.19,64.2239,112.3643,34.8218,54.1309,127.82,829.28,102.15,80.4465,15.1684,64.1705,29.8714,125.663,81.3753
2016-10-14,6.75,778.53,64.0153,112.9886,34.6891,54.6064,127.88,822.96,101.85,81.0164,15.3313,64.3774,29.7802,125.7761,81.5506
